frame_index,timestamp_sec,frame_width,frame_height,adapter,prediction_index,kind,label,confidence,visible,x1,y1,x2,y2,x1_norm,y1_norm,x2_norm,y2_norm
17,0.566667,640,360,demo_box,0,box,red_region,,,86.0,80.0,172.0,146.0,0.134375,0.222222,0.26875,0.405556
17,0.566667,640,360,demo_point,0,point,green_center,,1,460.5322,270.6162,460.5322,270.6162,0.719582,0.751712,0.719582,0.751712
18,0.6,640,360,demo_box,0,box,red_region,,,90.0,80.0,174.0,146.0,0.140625,0.222222,0.271875,0.405556
18,0.6,640,360,demo_point,0,point,green_center,,1,464.7429,270.7429,464.7429,270.7429,0.726161,0.752063,0.726161,0.752063
19,0.633333,640,360,demo_box,0,box,red_region,,,92.0,80.0,178.0,146.0,0.14375,0.222222,0.278125,0.405556
19,0.633333,640,360,demo_point,0,point,green_center,,1,468.4314,270.8403,468.4314,270.8403,0.731924,0.752334,0.731924,0.752334
20,0.666667,640,360,demo_box,0,box,red_region,,,96.0,80.0,180.0,146.0,0.15,0.222222,0.28125,0.405556
20,0.666667,640,360,demo_point,0,point,green_center,,1,472.2409,270.8964,472.2409,270.8964,0.737876,0.75249,0.737876,0.75249
21,0.7,640,360,demo_box,0,box,red_region,,,98.0,80.0,184.0,146.0,0.153125,0.222222,0.2875,0.405556
21,0.7,640,360,demo_point,0,point,green_center,,1,475.2571,270.7429,475.2571,270.7429,0.742589,0.752063,0.742589,0.752063
22,0.733333,640,360,demo_box,0,box,red_region,,,102.0,80.0,186.0,146.0,0.159375,0.222222,0.290625,0.405556
22,0.733333,640,360,demo_point,0,point,green_center,,1,477.4857,270.7429,477.4857,270.7429,0.746071,0.752063,0.746071,0.752063
23,0.766667,640,360,demo_box,0,box,red_region,,,104.0,80.0,190.0,146.0,0.1625,0.222222,0.296875,0.405556
23,0.766667,640,360,demo_point,0,point,green_center,,1,479.4678,270.6162,479.4678,270.6162,0.749168,0.751712,0.749168,0.751712
24,0.8,640,360,demo_box,0,box,red_region,,,108.0,80.0,192.0,146.0,0.16875,0.222222,0.3,0.405556
24,0.8,640,360,demo_point,0,point,green_center,,1,480.5322,270.6162,480.5322,270.6162,0.750832,0.751712,0.750832,0.751712
25,0.833333,640,360,demo_box,0,box,red_region,,,110.0,80.0,196.0,146.0,0.171875,0.222222,0.30625,0.405556
25,0.833333,640,360,demo_point,0,point,green_center,,1,480.5322,270.6162,480.5322,270.6162,0.750832,0.751712,0.750832,0.751712
26,0.866667,640,360,demo_box,0,box,red_region,,,114.0,80.0,198.0,146.0,0.178125,0.222222,0.309375,0.405556
26,0.866667,640,360,demo_point,0,point,green_center,,1,480.5322,270.6162,480.5322,270.6162,0.750832,0.751712,0.750832,0.751712
27,0.9,640,360,demo_box,0,box,red_region,,,116.0,80.0,202.0,146.0,0.18125,0.222222,0.315625,0.405556
27,0.9,640,360,demo_point,0,point,green_center,,1,479.4678,270.6162,479.4678,270.6162,0.749168,0.751712,0.749168,0.751712
28,0.933333,640,360,demo_box,0,box,red_region,,,120.0,80.0,204.0,146.0,0.1875,0.222222,0.31875,0.405556
28,0.933333,640,360,demo_point,0,point,green_center,,1,477.4857,270.7429,477.4857,270.7429,0.746071,0.752063,0.746071,0.752063
29,0.966667,640,360,demo_box,0,box,red_region,,,122.0,80.0,208.0,146.0,0.190625,0.222222,0.325,0.405556
29,0.966667,640,360,demo_point,0,point,green_center,,1,475.2571,270.7429,475.2571,270.7429,0.742589,0.752063,0.742589,0.752063
30,1.0,640,360,demo_box,0,box,red_region,,,126.0,80.0,210.0,146.0,0.196875,0.222222,0.328125,0.405556
30,1.0,640,360,demo_point,0,point,green_center,,1,473.6813,270.8242,473.6813,270.8242,0.740127,0.752289,0.740127,0.752289
31,1.033333,640,360,demo_box,0,box,red_region,,,128.0,80.0,214.0,146.0,0.2,0.222222,0.334375,0.405556
31,1.033333,640,360,demo_point,0,point,green_center,,1,469.1758,270.8242,469.1758,270.8242,0.733087,0.752289,0.733087,0.752289
32,1.066667,640,360,demo_box,0,box,red_region,,,132.0,80.0,216.0,146.0,0.20625,0.222222,0.3375,0.405556
32,1.066667,640,360,demo_point,0,point,green_center,,1,465.3714,270.7429,465.3714,270.7429,0.727143,0.752063,0.727143,0.752063
33,1.1,640,360,demo_box,0,box,red_region,,,134.0,80.0,220.0,146.0,0.209375,0.222222,0.34375,0.405556
33,1.1,640,360,demo_point,0,point,green_center,,1,461.6527,270.7283,461.6527,270.7283,0.721332,0.752023,0.721332,0.752023
34,1.133333,640,360,demo_box,0,box,red_region,,,138.0,80.0,222.0,146.0,0.215625,0.222222,0.346875,0.405556
34,1.133333,640,360,demo_point,0,point,green_center,,1,456.6106,270.6162,456.6106,270.6162,0.713454,0.751712,0.713454,0.751712
35,1.166667,640,360,demo_box,0,box,red_region,,,140.0,80.0,226.0,146.0,0.21875,0.222222,0.353125,0.405556
35,1.166667,640,360,demo_point,0,point,green_center,,1,451.5686,270.8403,451.5686,270.8403,0.705576,0.752334,0.705576,0.752334
36,1.2,640,360,demo_box,0,box,red_region,,,144.0,80.0,228.0,146.0,0.225,0.222222,0.35625,0.405556
36,1.2,640,360,demo_point,0,point,green_center,,1,444.7429,270.7429,444.7429,270.7429,0.694911,0.752063,0.694911,0.752063
37,1.233333,640,360,demo_box,0,box,red_region,,,146.0,80.0,232.0,146.0,0.228125,0.222222,0.3625,0.405556
37,1.233333,640,360,demo_point,0,point,green_center,,1,438.3473,270.7283,438.3473,270.7283,0.684918,0.752023,0.684918,0.752023
38,1.266667,640,360,demo_box,0,box,red_region,,,150.0,80.0,234.0,146.0,0.234375,0.222222,0.365625,0.405556
38,1.266667,640,360,demo_point,0,point,green_center,,1,431.5686,270.8403,431.5686,270.8403,0.674326,0.752334,0.674326,0.752334
39,1.3,640,360,demo_box,0,box,red_region,,,152.0,80.0,238.0,146.0,0.2375,0.222222,0.371875,0.405556
39,1.3,640,360,demo_point,0,point,green_center,,1,424.7429,270.7429,424.7429,270.7429,0.663661,0.752063,0.663661,0.752063
40,1.333333,640,360,demo_box,0,box,red_region,,,156.0,80.0,240.0,146.0,0.24375,0.222222,0.375,0.405556
40,1.333333,640,360,demo_point,,empty,,,,,,,,,,,
41,1.366667,640,360,demo_box,0,box,red_region,,,158.0,80.0,244.0,146.0,0.246875,0.222222,0.38125,0.405556
41,1.366667,640,360,demo_point,,empty,,,,,,,,,,,
42,1.4,640,360,demo_box,0,box,red_region,,,162.0,80.0,246.0,146.0,0.253125,0.222222,0.384375,0.405556
42,1.4,640,360,demo_point,,empty,,,,,,,,,,,
43,1.433333,640,360,demo_box,0,box,red_region,,,164.0,80.0,250.0,146.0,0.25625,0.222222,0.390625,0.405556
43,1.433333,640,360,demo_point,,empty,,,,,,,,,,,
44,1.466667,640,360,demo_box,0,box,red_region,,,168.0,80.0,252.0,146.0,0.2625,0.222222,0.39375,0.405556
44,1.466667,640,360,demo_point,,empty,,,,,,,,,,,
45,1.5,640,360,demo_box,0,box,red_region,,,170.0,80.0,256.0,146.0,0.265625,0.222222,0.4,0.405556
45,1.5,640,360,demo_point,,empty,,,,,,,,,,,
46,1.533333,640,360,demo_box,0,box,red_region,,,174.0,80.0,258.0,146.0,0.271875,0.222222,0.403125,0.405556
46,1.533333,640,360,demo_point,,empty,,,,,,,,,,,
47,1.566667,640,360,demo_box,0,box,red_region,,,176.0,80.0,262.0,146.0,0.275,0.222222,0.409375,0.405556
47,1.566667,640,360,demo_point,,empty,,,,,,,,,,,
48,1.6,640,360,demo_box,0,box,red_region,,,180.0,80.0,264.0,146.0,0.28125,0.222222,0.4125,0.405556
48,1.6,640,360,demo_point,,empty,,,,,,,,,,,
49,1.633333,640,360,demo_box,0,box,red_region,,,182.0,80.0,268.0,146.0,0.284375,0.222222,0.41875,0.405556
49,1.633333,640,360,demo_point,,empty,,,,,,,,,,,
50,1.666667,640,360,demo_box,,empty,,,,,,,,,,,
50,1.666667,640,360,demo_point,,empty,,,,,,,,,,,
51,1.7,640,360,demo_box,,empty,,,,,,,,,,,
51,1.7,640,360,demo_point,,empty,,,,,,,,,,,
52,1.733333,640,360,demo_box,,empty,,,,,,,,,,,
52,1.733333,640,360,demo_point,,empty,,,,,,,,,,,
53,1.766667,640,360,demo_box,,empty,,,,,,,,,,,
53,1.766667,640,360,demo_point,,empty,,,,,,,,,,,
54,1.8,640,360,demo_box,,empty,,,,,,,,,,,
54,1.8,640,360,demo_point,,empty,,,,,,,,,,,
55,1.833333,640,360,demo_box,,empty,,,,,,,,,,,
55,1.833333,640,360,demo_point,,empty,,,,,,,,,,,
56,1.866667,640,360,demo_box,,empty,,,,,,,,,,,
56,1.866667,640,360,demo_point,,empty,,,,,,,,,,,
57,1.9,640,360,demo_box,,empty,,,,,,,,,,,
57,1.9,640,360,demo_point,,empty,,,,,,,,,,,
58,1.933333,640,360,demo_box,,empty,,,,,,,,,,,
58,1.933333,640,360,demo_point,,empty,,,,,,,,,,,
59,1.966667,640,360,demo_box,,empty,,,,,,,,,,,
59,1.966667,640,360,demo_point,,empty,,,,,,,,,,,
